,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code,data_source
0,2021-09-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
1,2021-08-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
2,2021-07-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
3,2021-06-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
4,2021-05-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
5,2021-04-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
6,2021-03-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
7,2021-02-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
8,2021-01-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
9,2020-12-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
10,2020-11-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
11,2020-10-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
12,2020-09-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
13,2020-08-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
14,2020-07-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
15,2020-06-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
16,2020-05-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
17,2020-04-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
18,2020-03-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
19,2020-02-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
20,2020-01-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
21,2019-12-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
22,2019-11-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
23,2019-10-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
24,2019-09-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
25,2019-08-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
26,2019-07-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
27,2019-06-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
28,2019-05-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
29,2019-04-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
30,2019-03-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
31,2019-02-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
32,2019-01-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
33,2018-12-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
34,2018-11-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
35,2018-10-01,0,SI,PAINTED PEGASUS PETROLEUM LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
36,2018-09-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
37,2018-08-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
38,2018-07-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
39,2018-06-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
40,2018-05-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
41,2018-04-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
42,2018-03-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
43,2018-02-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
44,2018-01-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-08053
45,2017-12-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,148.0,,145.0,-3.0,,50.4,,,,,,,,,,,,,05-123-08053
46,2017-11-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,148.0,,,,148.0,,,,,,,,,,,,,,05-123-08053
47,2017-10-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,148.0,,,,148.0,,,,,,,,,,,,,,05-123-08053
48,2017-09-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,148.0,,,,148.0,,,,,,,,,,,,,,05-123-08053
49,2017-08-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,168.0,,,-20.0,148.0,,,,,,,,,,,,,,05-123-08053
50,2017-07-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,168.0,,,,168.0,,,,,,,,,,,,,,05-123-08053
51,2017-06-01,0,SI,HRM RESOURCES II LLC,123,8053,0,J SAND,168.0,,,,168.0,,,,,,,,,,,,,,05-123-08053
